Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2030175,DELFIN JARDIN,CERTIS EUROPE BV,Bacillus thuringiensis subsp. kurstaki SOUCHE: SA 11 Collection de cultures (Bacillus thuringiensis subsp. kurstaki) 32000 UIAK/mg,kg/ha
8700196,DELTAGRAIN CE 25 PB,BAYER SAS,deltamÃ©thrine (Deltamethrin) 25 g/L | pipÃ©ronyl butoxide (Piperonyl butoxyde) 225 g/L,L/t
2090040,EXEMPTOR,BAYER SAS,thiaclopride (Thiacloprid) 100 g/kg,g/m3
2090052,EXPRESS SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,tribenuron (Tribenuron) 500 g/kg,kg/ha
2010495,EXTRALUGEC GRANULES,PHYTEUROP,metaldÃ©hyde (Metaldehyde) 5 %,
7800571,TRADIACUIVRE 50,TRADI AGRI,cuivre de l'oxychlorure de cuivre (Copper compounds) 50 %,kg/ha
2090144,TRADIALIMACES,TRADI AGRI,metaldÃ©hyde (Metaldehyde) 5 %,
2140194,FONTELIS,DUPONT SOLUTIONS (FRANCE) S.A.S.,penthiopyrade (Penthiopyrad) 20 g/L,L/ha
2040146,FORCE 20 CS,SYNGENTA FRANCE SAS,tÃ©fluthrine (Tefluthrin) 200 g/L,L/unitÃ©
2040197,FORKA,BASF FRANCE SAS,pendimÃ©thaline (Pendimethalin) 400 g/L,L/ha
9600018,FORTRESS,DOW AGROSCIENCES SAS,quinoxyfÃ¨ne (Quinoxyfen) 500 g/L,L/ha
9600194,FORTRESS DUO,DOW AGROSCIENCES SAS,fenpropimorphe (Fenpropimorph) 250 g/L | quinoxyfÃ¨ne (Quinoxyfen) 66.7 g/L,L/ha
2120118,TRADIASPYR JARDIN,TRADI AGRI,"2,4-D ester ethylique (2,4-D) 58 g/L | triclopyr (Triclopyr) 64.7 g/L",mL/mÂ²
9900384,TRAITAM SOL,TAMINCO BVBA,mÃ©tam-sodium (Metam) 510 g/L,L/ha
2140201,CIDELY TOP,SYNGENTA FRANCE SAS,cyflufÃ©namide (Cyflufenamid) 15 g/L | difÃ©noconazole (Difenoconazole) 125 g/L,L/ha
2030457,HERITAGE,SYNGENTA FRANCE SAS,azoxystrobine (Azoxystrobin) 50 %,kg/ha
9200078,HORIZON EW,BAYER SAS,tÃ©buconazole (Tebuconazole) 250 g/L,L/ha
2070185,BANJO EXTRA,ADAMA FRANCE SAS,fluaziname (Fluazinam) 500 g/L,L/t
9200293,HOCKEY PLUS,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2140249,MIXANIL,OXON ITALIA,chlorothalonil (Chlorothalonil) 375 g/L | cymoxanil (Cymoxanil) 50 g/L,L/ha
2150131,NYXXER,MAKHTESHIM AGAN FRANCE,propyzamide (Propyzamide) 400 g/L,L/ha
8400096,BANVEL 4 S,SYNGENTA FRANCE SAS,dicamba sel de dimethylamine (Dicamba) 656.7 g/L,L/ha
2100020,ACRAMITE,ARYSTA LIFESCIENCE REGISTRATIONS GREAT BRITAIN LTD,bifÃ©nazate (Bifenazate) 480 g/L,L/ha
9200024,ACTIPRON PLUS,CEREXAGRI S.A.S.,huile de pÃ©trole (Petroleum oils) 790 g/L,L/ha
2030177,ACTO,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2120198,ADDIT,KOPPERT FRANCE (Cavaillon),Huile de colza esterifiee (Huile de colza esterifiee) 780.2 g/L,L/hL
2090191,BARCLAY GALLUP HI-AKTIV,BARCLAY CHEMICALS R&D LTD,Glyphosate (Glyphosate) 490 g/L,L/ha
2060194,"FORCE 1,5G",SYNGENTA FRANCE SAS,tÃ©fluthrine (Tefluthrin) 15 g/kg,kg/ha
8900137,FORAY 48 B,VALENT BIOSCIENCES,Bacillus thuringiensis subsp. kurstaki SOUCHE: ABTS 351 Collection de cultu (Bacillus thuringiensis subsp. kurstaki) 10600 UI/g,L/ha
9400555,EYETAK,BARCLAY CHEMICALS LTD,prochloraz (Prochloraz) 450 g/L,L/ha
2130060,LIFE SCIENTIFIC METCONAZOLE 60,LIFE SCIENTIFIC LTD,mÃ©tconazole (Metconazole) 60 g/L,L/ha
2150785,TEMSA 100,GLOBACHEM NV,mÃ©sotrione (Mesotrione) 100 g/L,L/ha
2140043,ISONET L,TERRA FRUCTI S.A.S.,"(E,Z)-7,9-dodÃ©cadien-1-yl acÃ©tate (Straight Chain Lepidopteran Pheromones) 643 g/kg",diffuseurs/ha
7800575,TRADIANET M 400,NUFARM UK LIMITED,MCPA (MCPA) 400 g/L,L/ha
9700391,VORAX MD,BASF FRANCE SAS,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 15 %,kg/ha
8300243,FONGIL FL,PHYTEUROP,chlorothalonil (Chlorothalonil) 500 g/L,L/ha
9900446,WAKIL XL,SYNGENTA FRANCE SAS,cymoxanil (Cymoxanil) 10 % | fludioxonil (Fludioxonil) 5 % | mÃ©talaxyl-M (Metalaxyl-M) 16.96 %,kg/q
2090158,BARCLAY GALLUP SUPER 360 ESPACES VERTS,BARCLAY CHEMICALS LTD,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2090162,BARCLAY GALLUP XTRA 450 ESPACES VERTS,BARCLAY CHEMICALS LTD,glyphosate sel d'isopropylamine (Glyphosate) 450 g/L,L/ha
2090164,BARCLAY GALLUP SUPER 360 JARDIN,BARCLAY CHEMICALS LTD,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,mL/mÂ²
2090165,BARCLAY GALLUP XTRA 450 JARDIN,BARCLAY CHEMICALS LTD,Glyphosate (Glyphosate) 450 g/L,L/ha
2090141,BARBARIAN SUPER 360,BARCLAY CHEMICALS LTD,Glyphosate (Glyphosate) 360 g/L,L/ha
2060050,VIVANDO,BASF FRANCE SAS,mÃ©trafÃ©none (Metrafenone) 42.37 %,L/ha
2080097,FORESTER,ARYSTA LIFESCIENCE BENELUX SPRL,Cypermethrin (Cypermethrin) 100 g/L,L/hL
2140021,SOFRAL FLO,SAGA s.a.s,soufre micronise (Sulphur) 800 g/L,L/ha
2150155,TELLUS,ISAGRO SPA,Trichoderma asperellum (Trichoderma asperellum strains ICC012 T25 and TV1) 20 g/kg | Trichoderma gamsii ICC080 (Trichoderma gamsii ICC080) 20 g/kg,
9800330,ADAGIO SG,BASF FRANCE SAS,bentazone (Bentazone) 870 g/kg,kg/ha
2090055,EXILIS,FINE AGROCHEMICALS LTD,6-BenzyladÃ©nine (6-Benzyladenine) 20 g/L,L/ha
2110074,EXOSEX CM,ADAMA FRANCE SAS,"(E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 0.0025 g/diffuseur",diffuseurs/ha
2100053,FLUROSTAR 200,GLOBACHEM,fluroxypyr ester 1-mÃ©thylheptyl (Fluroxypyr) 200 g/L,L/ha
2090185,HIMALAYA 60 SG,ARYSTA LIFESCIENCE BENELUX SPRL,hydrazide malÃ©Ã¯que (sel de potassium) (Maleic hydrazide) 804 g/kg,kg/ha
2010411,VISTATONIC,AGRIMER,Laminaria digitata (Laminaria digitata) 0.75 L/hL,L/hL
9000112,BANOLE,TOTAL FLUIDES,Huile minerale paraffinique (Huile minerale paraffinique) 100 %,L/ha
2100141,ADIGOR,SYNGENTA FRANCE SAS,Huile de colza esterifiee (Huile de colza esterifiee) 440 g/L,
9200236,BANOLE HV,TOTAL FLUIDES,Huile minerale paraffinique (Huile minerale paraffinique) 825 g/L,L/ha
2130116,ECOBOR,CERES DIFFUSION AGRICOLE,Triethanolamine (Triethanolamine) 108 g/L | Polymere complexe d'ethylene et de propylene (Polymere complexe d'ethylene et de propylene) 21.6 g/L,L/hL
2070178,HERBONET,DACD,Triethanolamine (Triethanolamine) 108 g/L | Polymere complexe d'ethylene et de propylene (Polymere complexe d'ethylene et de propylene) 21.6 g/L,L/hL
8600105,HYSPRAY,TRADI AGRI,Amines grasses de suif ethoxylees (Amines grasses de suif ethoxylees) 800 g/L,L/hL
2020197,I. C. 001.,HYGIENE & NATURE,acid blue 9 (acid blue 9) 260.75 g/L,L/hL
8800209,ACS,BAYER SAS,Polymeres d'hydrocarbures (Polymeres d'hydrocarbures) 580 g/L,L/hL
2010272,ACTIMUM,MONSANTO SAS,sulfate d'ammonium (Ammonium sulphate) 460 g/L,L/hL
8100103,ACTIPLUS,CEREXAGRI S.A.S.,Huile de petrole (Huile de petrole) 845 g/L,L/ha
7300099,ACTIPRON AM,CEREXAGRI S.A.S.,Huile de petrole (Huile de petrole) 850 g/L,L/ha
2010569,ACTIROC PLUS,SERVIROC,Amines grasses de suif ethoxylees (Amines grasses de suif ethoxylees) 77 %,L/hL
9500168,ACTIVA,MONSANTO SAS,sulfate d'ammonium (Ammonium sulphate) 460 g/L,L/hL
9400076,ACTIROB B,OLEON NV,Huile de colza esterifiee (Huile de colza esterifiee) 842 g/L,L/ha
9700095,ACTILANDES TM,ACTION PIN,Derives d'acides gras vegetaux (Derives d'acides gras vegetaux) 286 g/L | Huile de pin (Huile de pin) 430 g/L,L/ha
2160343,CLIOPHAR 600 SL,ARYSTA LIFESCIENCE BENELUX SPRL,clopyralid dimÃ©thylamine (Clopyralid) 741 g/L,L/ha
2150140,GLISTER ULTRA 360,SINON EU GMBH,glyphosate (Glyphosate) 360 g/L,L/ha
2120153,BARCLAY PROPYZ,BARCLAY CHEMICALS LTD,propyzamide (Propyzamide) 400 g/L,L/ha
